"key","from","to","rho_ctrl","padj_ctrl","rho_low","padj_low","delta_rho","sig_ctrl","sig_low","edge_state"
"MGDG/LPE||MGDG/PA","MGDG/LPE","MGDG/PA",0.488694842833424,5.6902109252065e-22,0.431916120604794,6.22468923288784e-17,-0.0567787222286298,TRUE,TRUE,"stable_or_weak"
"LPE/PS||PC/DGDG","LPE/PS","LPE/PS",-0.488310476072968,6.20125484072262e-22,0.246136886065967,5.98834624049766e-06,0.734447362138935,TRUE,TRUE,"sign_flip"
"PC/LPC||PC/PG","PC/LPC","PC/PG",0.488078193020243,6.52705541795413e-22,0.468422647865866,4.60506569408148e-20,-0.019655545154377,TRUE,TRUE,"stable_or_weak"
"DG/PE||DGDG/MGDG","DG/PE","DGDG/MGDG",-0.487619259644709,7.23390996462835e-22,0.0509512607927129,0.39226813242329,0.538570520437422,TRUE,FALSE,"lost_in_LI"
"PE/MGDG||PE/PG","PE/MGDG","PE/PG",0.487151743061684,8.03174413023937e-22,0.799024733048836,9.50030786068061e-79,0.311872989987152,TRUE,TRUE,"rewired_strength"
"PC/LPE||PC/SQDG","PC/LPE","PC/LPE",0.486827190528431,8.63120952601715e-22,0.547975570045679,2.40686065925642e-28,0.0611483795172482,TRUE,TRUE,"stable_or_weak"
"LPC/LPE||LPC/PA","LPC/LPE","LPC/PA",0.48625908948262,9.80168617286955e-22,-0.0993482126811526,0.0833024854856197,-0.585607302163773,TRUE,FALSE,"lost_in_LI"
"MGDG/SQDG||PE/SQDG","MGDG/SQDG","MGDG/SQDG",0.484990652350592,1.30378234649611e-21,0.501449757390276,3.09260460743958e-23,0.016459105039684,TRUE,TRUE,"stable_or_weak"
"DGDG/LPE||DGDG/PA","DGDG/LPE","DGDG/PA",0.483972469361973,1.63732948092028e-21,0.383936527180604,2.35274299903197e-13,-0.100035942181369,TRUE,TRUE,"stable_or_weak"
"PC/LPC||PE/MGDG","PC/LPC","PE/MGDG",0.483670984198851,1.74911288918905e-21,0.389898637684036,9.09339698246592e-14,-0.0937723465148154,TRUE,TRUE,"stable_or_weak"
"SQDG/LPE||SQDG/PA","SQDG/LPE","SQDG/PA",0.483605537241733,1.77186968250097e-21,0.33987302217418,1.49050108031413e-10,-0.143732515067553,TRUE,TRUE,"stable_or_weak"
"DG/PE||DGDG/PS","DG/PE","DGDG/PS",0.483302710952441,1.8932662228104e-21,0.0125738625238385,0.840228313218023,-0.470728848428603,TRUE,FALSE,"lost_in_LI"
"LPC/PG||SQDG/LPE","LPC/PG","LPC/PG",-0.482934437706031,2.05277380704436e-21,-0.558825280764764,1.16634852320273e-29,-0.0758908430587332,TRUE,TRUE,"stable_or_weak"
"DGDG/PS||PE/MGDG","DGDG/PS","DGDG/PS",-0.481514185091505,2.81596531934376e-21,-0.122004929979803,0.0323179151350794,0.359509255111702,TRUE,TRUE,"rewired_strength"
"PE/DGDG||SQDG/PS","PE/DGDG","SQDG/PS",-0.481431839944638,2.86312357261826e-21,-0.0177929891288313,0.776829022937307,0.463638850815807,TRUE,FALSE,"lost_in_LI"
"PC/LPC||PE/SQDG","PC/LPC","PE/SQDG",0.481394288411865,2.88210617475248e-21,0.508551020462903,5.8494549926318e-24,0.0271567320510379,TRUE,TRUE,"stable_or_weak"
