"Environment","N","R2","R2_SD"
"Ours_DTA",388,-0.0713804026834963,0.168825509710985
"MI20",288,-0.0643854994911308,0.111953144877918
"NE20",261,-0.182231401277065,0.170197780201418
"IA21_1",79,-0.189280213016192,0.367591813057682
"IA21_2",79,-0.321627023417855,0.407227120028433
