"Reaction","n_pairs","median_control","median_lowinput","effect_log10","p_value","p_adj_BH","direction","ci_low","ci_high"
"PNPLA3",355,-0.23300794540501,0.0935194394174355,0.326527384822445,7.3949765003737e-59,9.85996866716493e-59,"products_enriched_in_LI",0.0274485825115204,0.601726555315359
"LCAT*",355,-1.56217103096993,-1.32428389853272,0.237887132437216,2.23999317911119e-59,4.47998635822237e-59,"products_enriched_in_LI",0.0192105928224353,0.471251971253989
"LRO1",355,-1.74616914914411,-1.51396727927399,0.232201869870121,9.62883206586764e-60,3.85153282634706e-59,"products_enriched_in_LI",0.0586908885768039,0.459582862418349
"PNPLA1",355,0.737923912739001,0.469717886895582,-0.268206025843419,1.60659130968592e-57,1.60659130968592e-57,"substrates_enriched_in_LI",-0.552538852153419,0.019745715099464
