Reaction_branch,Condition,N_genes_with_hits,Total_N_Phenotypes,Total_N_linked,Total_N_direct_ratio,median_linked_fraction,min_best_p,Genes
LCAT* (PC+DG <-> LPC+TG),LIN,3,25,15,2,0.25,3.13e-12,SORBI_3001G103800; SORBI_3001G448800; SORBI_3006G214500
LCAT* (PC+DG <-> LPC+TG),CTL,2,3,2,0,0.75,6.5e-8,SORBI_3001G103800; SORBI_3001G448800
PNPLA1 branch (TG <-> DG),LIN,2,10,9,0,1,1.13e-9,SORBI_3001G041900; SORBI_3010G270700
PNPLA1 branch (TG <-> DG),CTL,1,2,0,0,0,1.47e-8,SORBI_3001G041900
TG-DG synthesis arm,LIN,2,25,9,0,0.667,3.16e-15,SORBI_3010G170000; SORBI_3009G034600
