"trait","n_snps","n_genes_in_rds"
"Sum_Cer_over_MG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part05.parta2_SAP_bialleles_MAF_0.05_15",6106358,0
"Sum_Cer_over_MGDG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part04.parta5_SAP_bialleles_MAF_0.05_14",6106358,0
"Sum_Cer_over_PA_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part05.parta6_SAP_bialleles_MAF_0.05_15",6106358,6
"Sum_Cer_over_PC_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part05.parta3_SAP_bialleles_MAF_0.05_15",6106358,0
"Sum_Cer_over_PE_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part05.parta4_SAP_bialleles_MAF_0.05_15",6106358,0
"Sum_Cer_over_PG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part05.parta5_SAP_bialleles_MAF_0.05_15",6106358,0
"Sum_Cer_over_PS_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part05.parta7_SAP_bialleles_MAF_0.05_15",6106358,0
"Sum_Cer_over_SM_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part04.parta1_SAP_bialleles_MAF_0.05_14",6106358,0
"Sum_Cer_over_SQDG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part04.parta6_SAP_bialleles_MAF_0.05_14",6106358,0
"Sum_Cer_over_TG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part04.parta3_SAP_bialleles_MAF_0.05_14",6106358,0
"Sum_DG_over_AEG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part07.parta9_SAP_bialleles_MAF_0.05_3",6106358,0
"Sum_DG_over_Cer_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part07.parta8_SAP_bialleles_MAF_0.05_3",6106358,0
"Sum_DG_over_DGDG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part07.parta2_SAP_bialleles_MAF_0.05_3",6106358,2
"Sum_DG_over_FA_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part07.parta1_SAP_bialleles_MAF_0.05_3",6106358,0
"Sum_DG_over_GalCer_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part07.parta5_SAP_bialleles_MAF_0.05_3",6106358,10
"Sum_DG_over_LPC_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part07.parta6_SAP_bialleles_MAF_0.05_3",6106358,0
"Sum_DG_over_LPE_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part07.parta7_SAP_bialleles_MAF_0.05_3",6106358,0
"Sum_DG_over_MG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part07.parta3_SAP_bialleles_MAF_0.05_3",6106358,58
"Sum_DG_over_MGDG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part07.parta3_SAP_bialleles_MAF_0.05_3",6106358,5
"Sum_DG_over_PA_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part07.parta7_SAP_bialleles_MAF_0.05_3",6106358,0
"Sum_DG_over_PC_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part07.parta4_SAP_bialleles_MAF_0.05_3",6106358,0
"Sum_DG_over_PE_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part07.parta5_SAP_bialleles_MAF_0.05_3",6106358,0
"Sum_DG_over_PG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part07.parta6_SAP_bialleles_MAF_0.05_3",6106358,0
"Sum_DG_over_PS_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part07.parta8_SAP_bialleles_MAF_0.05_3",6106358,5
"Sum_DG_over_SM_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part07.parta10_SAP_bialleles_MAF_0.05_3",6106358,0
"Sum_DG_over_SQDG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part07.parta4_SAP_bialleles_MAF_0.05_3",6106358,0
"Sum_DG_over_TG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part07.parta2_SAP_bialleles_MAF_0.05_3",6106358,38
"Sum_DGDG_over_AEG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part01.parta5_SAP_bialleles_MAF_0.05_11",6106358,1291
"Sum_DGDG_over_Cer_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part01.parta4_SAP_bialleles_MAF_0.05_11",6106358,1248
"Sum_DGDG_over_DG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part01.parta9_SAP_bialleles_MAF_0.05_11",6106358,1391
"Sum_DGDG_over_FA_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part01.parta7_SAP_bialleles_MAF_0.05_11",6106358,1163
"Sum_DGDG_over_GalCer_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part01.parta1_SAP_bialleles_MAF_0.05_11",6106358,1296
"Sum_DGDG_over_LPC_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part01.parta2_SAP_bialleles_MAF_0.05_11",6106358,1137
"Sum_DGDG_over_LPE_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part01.parta3_SAP_bialleles_MAF_0.05_11",6106358,1087
"Sum_DGDG_over_MG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part01.parta10_SAP_bialleles_MAF_0.05_11",6106358,1380
"Sum_DGDG_over_MGDG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part01.parta9_SAP_bialleles_MAF_0.05_11",6106358,1357
"Sum_DGDG_over_PA_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part02.parta1_SAP_bialleles_MAF_0.05_12",6106358,916
"Sum_DGDG_over_PC_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part01.parta1_SAP_bialleles_MAF_0.05_11",6106358,1118
"Sum_DGDG_over_PE_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part01.parta2_SAP_bialleles_MAF_0.05_11",6106358,1159
"Sum_DGDG_over_PG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part01.parta3_SAP_bialleles_MAF_0.05_11",6106358,1105
"Sum_DGDG_over_PS_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part02.parta2_SAP_bialleles_MAF_0.05_12",6106358,1196
"Sum_DGDG_over_SM_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part01.parta6_SAP_bialleles_MAF_0.05_11",6106358,1241
"Sum_DGDG_over_SQDG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part01.parta10_SAP_bialleles_MAF_0.05_11",6106358,1261
"Sum_DGDG_over_TG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part01.parta8_SAP_bialleles_MAF_0.05_11",6106358,1209
